PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Has_Cabin
1,0,3,"Braund, Mr. Owen Harris",male,0.37500000000000006,0.125,0.0,A/5 21171,0.11046036834342966,S,0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.6826923076923077,0.125,0.0,PC 17599,1.0,C,1
3,1,3,"Heikkinen, Miss. Laina",female,0.4519230769230769,0.0,0.0,STON/O2. 3101282,0.12074460953402483,S,0
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.625,0.125,0.0,113803,0.8090269736601539,S,1
5,0,3,"Allen, Mr. William Henry",male,0.625,0.0,0.0,373450,0.12264909864339432,S,0
6,0,3,"Moran, Mr. James",male,0.4903846153846155,0.0,0.0,330877,0.12886992187023877,Q,0
7,0,1,"McCarthy, Mr. Timothy J",male,0.9903846153846154,0.0,0.0,17463,0.790172531477396,S,1
8,0,3,"Palsson, Master. Gosta Leonard",male,0.0,0.375,0.16666666666666666,349909,0.32109686383969377,S,0
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0.4711538461538462,0.0,0.3333333333333333,347742,0.1696259888107456,S,0
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,0.2211538461538462,0.125,0.0,237736,0.4581560888802213,C,0
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,0.028846153846153848,0.125,0.16666666666666666,PP 9549,0.2544397450117621,S,1
12,1,1,"Bonnell, Miss. Elizabeth",female,1.0,0.0,0.0,113783,0.40451348683007693,S,1
13,0,3,"Saundercock, Mr. William Henry",male,0.33653846153846156,0.0,0.0,A/5. 2151,0.12264909864339432,S,0
14,0,3,"Andersson, Mr. Anders Johan",male,0.7019230769230769,0.125,0.8333333333333333,347082,0.4765031751642431,S,0
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,0.2211538461538462,0.0,0.0,350406,0.11966590690247796,S,0
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,1.0,0.0,0.0,248706,0.24377460599929304,S,0
17,0,3,"Rice, Master. Eugene",male,0.0,0.5,0.16666666666666666,382652,0.4437459624830881,Q,0
18,1,2,"Williams, Mr. Charles Eugene",male,0.4903846153846155,0.0,0.0,244373,0.1980668673744256,S,0
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.548076923076923,0.125,0.0,345763,0.27424643174920466,S,0
20,1,3,"Masselmani, Mrs. Fatima",female,0.4903846153846155,0.0,0.0,2649,0.11007947052155576,C,0
21,0,2,"Fynney, Mr. Joseph J",male,0.625,0.0,0.0,239865,0.3961337347488512,S,0
22,1,2,"Beesley, Mr. Lawrence",male,0.6057692307692307,0.0,0.0,248698,0.1980668673744256,S,1
23,1,3,"McGowan, Miss. Anna ""Annie""",female,0.24038461538461542,0.0,0.0,330923,0.12233219165559522,Q,0
24,1,1,"Sloper, Mr. William Thompson",male,0.4903846153846155,0.0,0.0,113788,0.5408749070609314,S,1
25,0,3,"Palsson, Miss. Torborg Danira",female,0.10576923076923078,0.375,0.16666666666666666,349909,0.32109686383969377,S,0
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.6826923076923077,0.125,0.8333333333333333,347077,0.47821721536267564,S,0
27,0,3,"Emir, Mr. Farred Chehab",male,0.4903846153846155,0.0,0.0,2631,0.11007947052155576,C,0
28,0,1,"Fortune, Mr. Charles Alexander",male,0.31730769230769235,0.375,0.3333333333333333,19950,1.0,S,1
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,0.4903846153846155,0.0,0.0,330959,0.12004680472435186,Q,0
30,0,3,"Todoroff, Mr. Lalio",male,0.4903846153846155,0.0,0.0,349216,0.12029972087807612,S,0
31,0,1,"Uruchurtu, Don. Manuel E",male,0.7211538461538461,0.0,0.0,PC 17601,0.42235169362407515,C,0
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,0.4903846153846155,0.125,0.0,PC 17569,1.0,C,1
33,1,3,"Glynn, Miss. Mary Agatha",female,0.4903846153846155,0.0,0.0,335677,0.11807832478090757,Q,0
34,0,2,"Wheadon, Mr. Edward H",male,1.0,0.0,0.0,C.A. 24579,0.15997708518703607,S,0
35,0,1,"Meyer, Mr. Edgar Joseph",male,0.4903846153846155,0.125,0.0,PC 17604,1.0,C,0
36,0,1,"Holverson, Mr. Alexander Oskar",male,0.7596153846153846,0.125,0.0,113789,0.7922674694977024,S,0
37,1,3,"Mamee, Mr. Hanna",male,0.4903846153846155,0.0,0.0,2677,0.11014346135563058,C,0
38,0,3,"Cann, Mr. Ernest Charles",male,0.3557692307692308,0.0,0.0,A./5. 2152,0.12264909864339432,S,0
39,0,3,"Vander Planke, Miss. Augusta Maria",female,0.2980769230769231,0.25,0.0,345764,0.27424643174920466,S,0
40,1,3,"Nicola-Yarred, Miss. Jamila",female,0.2211538461538462,0.125,0.0,2651,0.17127756176639078,C,0
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,0.7211538461538461,0.125,0.0,7546,0.14436027449020633,S,0
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,0.4711538461538462,0.125,0.0,11668,0.31995417037407214,S,0
43,0,3,"Kraeff, Mr. Theodor",male,0.4903846153846155,0.0,0.0,349253,0.12029972087807612,C,0
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,0.009615384615384616,0.125,0.3333333333333333,SC/Paris 2123,0.6334970686103628,C,0
45,1,3,"Devaney, Miss. Margaret Delia",female,0.31730769230769235,0.0,0.0,330958,0.12004680472435186,Q,0
46,0,3,"Rogers, Mr. William John",male,0.4903846153846155,0.0,0.0,S.C./A.4. 23567,0.12264909864339432,S,0
47,0,3,"Lennon, Mr. Denis",male,0.4903846153846155,0.125,0.0,370371,0.23615664956181515,Q,0
48,1,3,"O'Driscoll, Miss. Bridget",female,0.4903846153846155,0.0,0.0,14311,0.11807832478090757,Q,0
49,0,3,"Samaan, Mr. Youssef",male,0.4903846153846155,0.25,0.0,2662,0.33030240239874215,C,0
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,0.2980769230769231,0.125,0.0,349237,0.2711992491742135,S,0
51,0,3,"Panula, Master. Juha Niilo",male,0.08653846153846156,0.5,0.16666666666666666,3101295,0.6046752922248089,S,0
52,0,3,"Nosworthy, Mr. Richard Cater",male,0.3557692307692308,0.0,0.0,A/4. 39886,0.11884012042465536,S,0
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,0.8942307692307693,0.125,0.0,PC 17572,1.0,C,1
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,0.5096153846153846,0.125,0.0,2926,0.3961337347488512,S,0
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,1.0,0.0,0.16666666666666666,113509,0.9443096912594614,C,1
56,1,1,"Woolner, Mr. Hugh",male,0.4903846153846155,0.0,0.0,19947,0.5408749070609314,S,1
57,1,2,"Rugg, Miss. Emily",female,0.3557692307692308,0.0,0.0,C.A. 31026,0.15997708518703607,S,0
58,0,3,"Novel, Mr. Mansouer",male,0.5,0.0,0.0,2697,0.11014346135563058,C,0
